barra	utm_x	utm_y
B_400	-466379371	-235271685
B_399	-466379459	-235271765
B_398	-466380530	-235311327
B_397	-466380113	-235310112
B_396	-466377655	-235277286
B_395	-466377667	-235277293
B_394	-466387209	-235288661
B_393	-466387188	-235288666
B_392	-466386051	-235288941
B_391	-466383165	-235308798
B_390	-466382709	-235309993
B_389	-466382576	-235311304
B_388	-466383476	-235311898
B_387	-466383538	-235311938
B_386	-466380616	-235276413
B_385	-466382296	-235275570
B_384	-466383233	-235298916
B_383	-466386117	-235313570
B_382	-466386001	-235313481
B_381	-466385648	-235313267
B_380	-466384851	-235304056
B_379	-466384191	-235305850
B_378	-466383528	-235307663
B_377	-466382642	-235275704
B_376	-466383738	-235296649
B_375	-466384238	-235297969
B_374	-466383323	-235298996
B_373	-466384395	-235275050
B_372	-466384434	-235298615
B_371	-466387492	-235279808
B_370	-466386287	-235277383
B_369	-466385186	-235275498
B_368	-466385442	-235302471
B_367	-466385997	-235300973
B_366	-466384895	-235299431
B_365	-466386703	-235278561
B_364	-466386792	-235278642
B_363	-466386125	-235300636
B_362	-466387109	-235298039
B_361	-466388170	-235294972
B_360	-466388324	-235281400
B_359	-466389040	-235282666
B_358	-466388721	-235282184
B_357	-466388296	-235281425
B_356	-466388737	-235293341
B_355	-466388453	-235294156
B_354	-466388322	-235294535
B_353	-466388674	-235288284
B_352	-466389051	-235282683
B_351	-466389170	-235292334
B_350	-466389655	-235291062
B_349	-466389726	-235290872
B_348	-466390324	-235289072
B_347	-466390388	-235288877
B_346	-466390855	-235287719
B_345	-466390863	-235287700
B_344	-466390995	-235287638
B_343	-466391601	-235287350
B_342	-466389944	-235286393
B_341	-466390405	-235285647
B_340	-466391217	-235284104
B_339	-466391361	-235283831
B_338	-466391634	-235283275
B_337	-466396223	-235288927
B_336	-466393662	-235287690
B_335	-466392382	-235287162
B_334	-466392542	-235281200
B_333	-466392030	-235282469
B_332	-466392701	-235281379
B_331	-466393179	-235280379
B_330	-466394234	-235278563
B_329	-466395369	-235288504
B_328	-466395436	-235288574
B_327	-466395662	-235275565
B_326	-466395662	-235275584
B_325	-466394268	-235278506
B_324	-466394713	-235277745
B_323	-466395288	-235276656
B_322	-466395734	-235275974
B_321	-466396317	-235274992
B_320	-466396399	-235274854
B_319	-466396588	-235274537
B_318	-466396598	-235274520
B_317	-466398134	-235289767
B_316	-466398347	-235289917
B_315	-466398959	-235290218
B_314	-466399666	-235290567
B_313	-466398376	-235288814
B_312	-466397818	-235289663
B_311	-466398459	-235289727
B_310	-466398450	-235289746
B_309	-466398357	-235289921
B_308	-466399959	-235290712
B_307	-466401126	-235291275
B_306	-466400744	-235291116
B_305	-466402662	-235291821
B_304	-466401642	-235291489
B_303	-466402822	-235291927
B_302	-466403808	-235292459
B_301	-466406566	-235293694
B_300	-466407650	-235294225
B_299	-466409208	-235295011
B_298	-466410309	-235295539
B_297	-466409226	-235295021
B_296	-466412580	-235293590
B_295	-466412588	-235293571
B_294	-466412869	-235292804
B_293	-466413365	-235291648
B_292	-466413372	-235291629
Bmi_3335	-466251146	-235231156
Bmi_3330	-466251151	-235231156
Bmi_3329	-466232555	-235202362
B_3291	-466255947	-235232362
B_3290	-466229758	-235245556
B_3289	-466229773	-235246835
B_3288	-466229859	-235246906
B_3287	-466232021	-235253869
B_3286	-466231907	-235246975
B_3285	-466251246	-235254098
B_3284	-466241055	-235254387
B_3283	-466232017	-235255163
B_3282	-466254419	-235247120
B_3281	-466254815	-235254229
B_3280	-466255780	-235232254
B_3279	-466256234	-235244466
B_3278	-466259683	-235231129
B_3277	-466259782	-235231268
B_3276	-466264566	-235206892
B_3275	-466267061	-235204300
B_3274	-466252376	-235251645
B_3273	-466252366	-235251508
B_3272	-466252268	-235250162
B_3271	-466252126	-235246642
B_3270	-466251937	-235243838
B_3269	-466251937	-235243834
B_3268	-466251659	-235240506
B_3267	-466251501	-235235631
B_3266	-466251162	-235231156
