rede;barra;vnom_kv;utm_x;utm_y;rede_id;barra_id;
CAI  0103;B_1244;1.38E+001;-466249933;-235298875;3270;2850;
CAI  0103;B_1243;1.38E+001;-466246633;-235297127;3270;2851;
CAI  0103;B_1242;1.38E+001;-466246613;-235297117;3270;2852;
CAI  0103;B_1241;1.38E+001;-466251893;-235254874;3270;2853;
CAI  0103;B_1240;1.38E+001;-466249850;-235254936;3270;2854;
CAI  0103;B_1239;1.38E+001;-466247617;-235255004;3270;2855;
CAI  0103;B_1238;1.38E+001;-466247538;-235255006;3270;2856;
CAI  0103;B_1237;1.38E+001;-466242947;-235255117;3270;2857;
CAI  0103;B_1236;1.38E+001;-466243096;-235255113;3270;2858;
CAI  0103;B_1235;1.38E+001;-466245580;-235255052;3270;2859;
CAI  0103;B_1234;1.38E+001;-466248659;-235298431;3270;2860;
CAI  0103;B_1233;1.38E+001;-466248790;-235298256;3270;2861;
CAI  0103;B_1232;1.38E+001;-466252773;-235276997;3270;2862;
CAI  0103;B_1188;1.38E+001;-466272258;-235268913;3270;2906;
CAI  0103;B_1187;1.38E+001;-466271899;-235269643;3270;2907;
CAI  0103;B_1186;1.38E+001;-466272925;-235297354;3270;2908;
CAI  0103;B_1185;1.38E+001;-466273275;-235296644;3270;2909;
CAI  0103;B_1184;1.38E+001;-466273376;-235296435;3270;2910;
CAI  0103;B_1183;1.38E+001;-466273594;-235295994;3270;2911;
CAI  0103;B_1182;1.38E+001;-466281949;-235297631;3270;2912;
CAI  0103;B_1181;1.38E+001;-466277688;-235298622;3270;2913;
CAI  0103;B_1180;1.38E+001;-466277743;-235298825;3270;2914;
CAI  0103;B_1179;1.38E+001;-466280591;-235297925;3270;2915;
CAI  0103;B_1178;1.38E+001;-466280721;-235297992;3270;2916;
CAI  0103;B_1177;1.38E+001;-466283722;-235296908;3270;2917;
CAI  0103;B_1176;1.38E+001;-466283850;-235297095;3270;2918;
CAI  0102;Bmi_3178;1.38E+001;-466319874;-235293049;3269;2919;
CAI  0102;Bmi_3173;1.38E+001;-466319878;-235293049;3269;2920;
CAI  0102;Bmi_3172;1.38E+001;-466328341;-235319206;3269;2921;
CAI  0102;B_411;1.38E+001;-466229811;-235246883;3269;2922;
CAI  0102;B_410;1.38E+001;-466232238;-235253983;3269;2923;
CAI  0102;B_409;1.38E+001;-466231868;-235246952;3269;2924;
CAI  0102;B_408;1.38E+001;-466228924;-235255192;3269;2925;
CAI  0102;B_407;1.38E+001;-466232355;-235254894;3269;2926;
CAI  0102;B_406;1.38E+001;-466328341;-235319206;3269;2927;
CAI  0102;B_405;1.38E+001;-466328334;-235319188;3269;2928;
CAI  0102;B_404;1.38E+001;-466328329;-235319170;3269;2929;
CAI  0102;B_403;1.38E+001;-466281532;-235320293;3269;2930;
CAI  0102;B_402;1.38E+001;-466311929;-235289869;3269;2931;
CAI  0102;B_401;1.38E+001;-466331116;-235323846;3269;2932;
CAI  0102;B_400;1.38E+001;-466329676;-235324098;3269;2933;
CAI  0102;B_399;1.38E+001;-466329663;-235324202;3269;2934;
CAI  0102;B_398;1.38E+001;-466319888;-235293049;3269;2935;
CAI  0102;B_397;1.38E+001;-466319884;-235293039;3269;2936;
CAI  0102;B_396;1.38E+001;-466212819;-235276540;3269;2937;
CAI  0102;B_395;1.38E+001;-466251679;-235311341;3269;2938;
CAI  0102;B_394;1.38E+001;-466260051;-235311323;3269;2939;
CAI  0102;B_393;1.38E+001;-466269384;-235304165;3269;2940;
CAI  0102;B_392;1.38E+001;-466203969;-235262273;3269;2941;
CAI  0102;B_391;1.38E+001;-466206236;-235260681;3269;2942;
CAI  0102;B_390;1.38E+001;-466207937;-235259468;3269;2943;
CAI  0102;B_389;1.38E+001;-466206033;-235260531;3269;2944;
CAI  0102;B_388;1.38E+001;-466216295;-235293698;3269;2945;
CAI  0102;B_387;1.38E+001;-466216272;-235293702;3269;2946;
CAI  0102;B_386;1.38E+001;-466214222;-235294175;3269;2947;
CAI  0102;B_385;1.38E+001;-466213044;-235294434;3269;2948;
CAI  0102;B_339;1.38E+001;-466218145;-235294675;3269;2994;
CAI  0102;B_338;1.38E+001;-466217796;-235293381;3269;2995;
CAI  0102;B_337;1.38E+001;-466212067;-235254912;3269;2996;
CAI  0102;B_336;1.38E+001;-466212761;-235254909;3269;2997;
CAI  0102;B_335;1.38E+001;-466213151;-235254814;3269;2998;
CAI  0102;B_334;1.38E+001;-466215504;-235254970;3269;2999;
CAI  0102;B_333;1.38E+001;-466219119;-235297202;3269;3000;
CAI  0102;B_332;1.38E+001;-466218978;-235297287;3269;3001;
CAI  0102;B_331;1.38E+001;-466215513;-235264856;3269;3002;
CAI  0102;B_330;1.38E+001;-466217228;-235261748;3269;3003;
CAI  0102;B_329;1.38E+001;-466218680;-235259113;3269;3004;
CAI  0102;B_328;1.38E+001;-466219994;-235256735;3269;3005;
CAI  0102;B_327;1.38E+001;-466221016;-235292333;3269;3006;
CAI  0102;B_326;1.38E+001;-466221055;-235292479;3269;3007;
CAI  0102;B_325;1.38E+001;-466220062;-235256612;3269;3008;
CAI  0102;B_324;1.38E+001;-466220813;-235255233;3269;3009;
CAI  0102;B_323;1.38E+001;-466218345;-235255031;3269;3010;
CAI  0102;B_322;1.38E+001;-466220907;-235254927;3269;3011;
CAI  0102;B_321;1.38E+001;-466223532;-235253993;3269;3012;
CAI  0102;B_320;1.38E+001;-466223622;-235254073;3269;3013;
CAI  0102;B_319;1.38E+001;-466221379;-235254909;3269;3014;
CAI  0102;B_318;1.38E+001;-466224025;-235255062;3269;3015;
CAI  0102;B_317;1.38E+001;-466226573;-235255125;3269;3016;
CAI  0102;B_316;1.38E+001;-466226568;-235255495;3269;3017;
CAI  0102;B_315;1.38E+001;-466227298;-235290086;3269;3018;
CAI  0102;B_314;1.38E+001;-466227295;-235290066;3269;3019;
CAI  0102;B_313;1.38E+001;-466225897;-235291367;3269;3020;
CAI  0102;B_312;1.38E+001;-466225917;-235291362;3269;3021;
CAI  0102;B_311;1.38E+001;-466231476;-235303658;3269;3022;
CAI  0102;B_310;1.38E+001;-466230709;-235301177;3269;3023;
CAI  0102;B_309;1.38E+001;-466230458;-235300418;3269;3024;
CAI  0102;B_308;1.38E+001;-466228441;-235294379;3269;3025;
CAI  0102;B_307;1.38E+001;-466227470;-235291010;3269;3026;
CAI  0102;B_306;1.38E+001;-466229592;-235296983;3269;3027;
CAI  0102;B_305;1.38E+001;-466229249;-235297022;3269;3028;
CAI  0102;B_304;1.38E+001;-466228826;-235255193;3269;3029;
CAI  0102;B_303;1.38E+001;-466228809;-235255177;3269;3030;
CAI  0102;B_302;1.38E+001;-466226579;-235255125;3269;3031;
CAI  0102;B_301;1.38E+001;-466230100;-235255270;3269;3032;
CAI  0102;B_300;1.38E+001;-466230078;-235255267;3269;3033;
CAI  0102;B_299;1.38E+001;-466228737;-235255112;3269;3034;
CAI  0102;B_298;1.38E+001;-466230763;-235301850;3269;3035;
CAI  0102;B_297;1.38E+001;-466230966;-235301948;3269;3036;
CAI  0102;B_296;1.38E+001;-466232013;-235305838;3269;3037;
CAI  0102;B_251;1.38E+001;-466254045;-235307073;3269;3082;
CAI  0102;B_250;1.38E+001;-466254126;-235305140;3269;3083;
CAI  0102;B_249;1.38E+001;-466254126;-235305120;3269;3084;
CAI  0102;B_248;1.38E+001;-466254008;-235314917;3269;3085;
CAI  0102;B_247;1.38E+001;-466254270;-235314939;3269;3086;
CAI  0102;B_246;1.38E+001;-466258173;-235309413;3269;3087;
CAI  0102;B_245;1.38E+001;-466258003;-235307100;3269;3088;
CAI  0102;B_244;1.38E+001;-466258001;-235307081;3269;3089;
CAI  0102;B_243;1.38E+001;-466259313;-235313052;3269;3090;
CAI  0102;B_242;1.38E+001;-466258183;-235312822;3269;3091;
CAI  0102;B_241;1.38E+001;-466260213;-235311414;3269;3092;
CAI  0102;B_240;1.38E+001;-466262344;-235307229;3269;3093;
CAI  0102;B_239;1.38E+001;-466260876;-235310141;3269;3094;
CAI  0102;B_238;1.38E+001;-466261403;-235323221;3269;3095;
CAI  0102;B_237;1.38E+001;-466262899;-235326267;3269;3096;
CAI  0102;B_236;1.38E+001;-466262108;-235324848;3269;3097;
CAI  0102;B_235;1.38E+001;-466262098;-235324829;3269;3098;
CAI  0102;B_234;1.38E+001;-466261492;-235323302;3269;3099;
CAI  0102;B_233;1.38E+001;-466260988;-235322133;3269;3100;
CAI  0102;B_232;1.38E+001;-466260676;-235320781;3269;3101;
CAI  0102;B_231;1.38E+001;-466261730;-235318874;3269;3102;
CAI  0102;B_230;1.38E+001;-466263368;-235316600;3269;3103;
CAI  0102;B_229;1.38E+001;-466267280;-235324054;3269;3104;
CAI  0102;B_228;1.38E+001;-466265326;-235324525;3269;3105;
CAI  0102;B_227;1.38E+001;-466262884;-235325093;3269;3106;
CAI  0102;B_226;1.38E+001;-466263974;-235326075;3269;3107;
CAI  0102;B_225;1.38E+001;-466263608;-235328156;3269;3108;
CAI  0102;B_224;1.38E+001;-466263199;-235327067;3269;3109;
CAI  0102;B_223;1.38E+001;-466256963;-235329399;3269;3110;
CAI  0102;B_222;1.38E+001;-466258509;-235327667;3269;3111;
CAI  0102;B_221;1.38E+001;-466260162;-235326656;3269;3112;
CAI  0102;B_220;1.38E+001;-466262782;-235316696;3269;3113;
CAI  0102;B_219;1.38E+001;-466263457;-235315875;3269;3114;
CAI  0102;B_218;1.38E+001;-466263934;-235314788;3269;3115;
CAI  0102;B_217;1.38E+001;-466264699;-235313335;3269;3116;
CAI  0102;B_216;1.38E+001;-466266520;-235318011;3269;3117;
CAI  0102;B_215;1.38E+001;-466264866;-235317314;3269;3118;
CAI  0102;B_214;1.38E+001;-466264846;-235317306;3269;3119;
CAI  0102;B_213;1.38E+001;-466266423;-235310156;3269;3120;
CAI  0102;B_212;1.38E+001;-466265463;-235311792;3269;3121;
CAI  0102;B_211;1.38E+001;-466266905;-235309519;3269;3122;
CAI  0102;B_210;1.38E+001;-466266900;-235309158;3269;3123;
CAI  0102;B_209;1.38E+001;-466267288;-235307989;3269;3124;
CAI  0102;B_208;1.38E+001;-466267376;-235308069;3269;3125;
CAI  0102;B_163;1.38E+001;-466315451;-235298987;3269;3170;
CAI  0102;B_162;1.38E+001;-466314151;-235311923;3269;3171;
CAI  0102;B_161;1.38E+001;-466314240;-235312002;3269;3172;
CAI  0102;B_160;1.38E+001;-466315801;-235311535;3269;3173;
CAI  0102;B_159;1.38E+001;-466317074;-235312494;3269;3174;
CAI  0102;B_158;1.38E+001;-466318534;-235310875;3269;3175;
CAI  0102;B_157;1.38E+001;-466317083;-235312244;3269;3176;
CAI  0102;B_156;1.38E+001;-466317169;-235311250;3269;3177;
CAI  0102;B_155;1.38E+001;-466316368;-235301867;3269;3178;
CAI  0102;B_154;1.38E+001;-466317249;-235304885;3269;3179;
CAI  0102;B_153;1.38E+001;-466317963;-235310591;3269;3180;
CAI  0102;B_152;1.38E+001;-466318046;-235310879;3269;3181;
CAI  0102;B_151;1.38E+001;-466317288;-235305018;3269;3182;
CAI  0102;B_150;1.38E+001;-466318204;-235307808;3269;3183;
CAI  0102;B_149;1.38E+001;-466315729;-235289773;3269;3184;
CAI  0102;B_148;1.38E+001;-466318563;-235288618;3269;3185;
CAI  0102;B_146;1.38E+001;-466320201;-235287424;3269;3186;
CAI  0102;B_145;1.38E+001;-466318854;-235287775;3269;3187;
CAI  0102;B_144;1.38E+001;-466318984;-235290169;3269;3188;
CAI  0102;B_143;1.38E+001;-466318971;-235290127;3269;3189;
CAI  0102;B_142;1.38E+001;-466319938;-235313479;3269;3190;
CAI  0102;B_141;1.38E+001;-466319018;-235310327;3269;3191;
CAI  0102;B_140;1.38E+001;-466319868;-235293006;3269;3192;
CAI  0102;B_139;1.38E+001;-466319850;-235292941;3269;3193;
CAI  0102;B_138;1.38E+001;-466319696;-235292418;3269;3194;
CAI  0102;B_137;1.38E+001;-466319684;-235292377;3269;3195;
CAI  0102;B_136;1.38E+001;-466320479;-235295685;3269;3196;
CAI  0102;B_135;1.38E+001;-466320568;-235295765;3269;3197;
CAI  0102;B_134;1.38E+001;-466320634;-235296261;3269;3198;
CAI  0102;B_133;1.38E+001;-466320451;-235296072;3269;3199;
