
SYMMETRICAL COMPONENT PHASE-PHASE VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

954      12,98          0    0,01014    0,07811 1,655E-015 1,275E-014
1033        13          0    0,01125    0,08652 1,592E-015 1,224E-014
2022     13,05          0   0,008372    0,06413 1,592E-015 1,219E-014
146      13,03          0   0,007061     0,0542 1,833E-015 1,407E-014
563      12,98          0   0,006798    0,05238 1,655E-015 1,275E-014
1201     12,97          0   0,009023    0,06959 1,875E-015 1,446E-014
2963      13,1          0   0,002704    0,02064 1,438E-015 1,098E-014
2819     13,12          0   0,003695    0,02816 1,819E-015 1,386E-014
2307     13,14          0   0,003089     0,0235 1,456E-015 1,108E-014
2315     13,14          0   0,003106    0,02364 2,096E-015 1,595E-014
984      12,99          0    0,01007    0,07751 2,096E-015 1,614E-014
953      12,98          0    0,01014    0,07811 1,819E-015 1,401E-014
1032        13          0    0,01125    0,08652 1,592E-015 1,224E-014
1020        13          0    0,01132    0,08709 1,655E-015 1,273E-014
2023     13,05          0   0,008389    0,06427 1,819E-015 1,393E-014
147      13,03          0   0,007062    0,05421 1,875E-015 1,439E-014
560      12,98          0   0,006798    0,05238 1,875E-015 1,445E-014
558      12,98          0   0,006798    0,05238 1,364E-015 1,051E-014
1180     12,96          0   0,009056    0,06985 1,819E-015 1,403E-014
2981      13,1          0    0,00271    0,02069 1,592E-015 1,215E-014
2837     13,12          0   0,003723    0,02838 8,198E-016 6,249E-015
2305     13,14          0   0,003089     0,0235 1,137E-015 8,65E-015
2303     13,14          0   0,003089     0,0235 1,456E-015 1,108E-014
2324     13,14          0   0,003116    0,02371 2,096E-015 1,595E-014
2271     13,14          0   0,003106    0,02364 2,046E-015 1,557E-014
983      12,99          0    0,01005    0,07739 1,224E-015 9,429E-015
969      12,98          0    0,01014    0,07811 1,875E-015 1,444E-014
1019        13          0    0,01138    0,08755 2,501E-015 1,924E-014
2029     13,05          0    0,00841    0,06443 2,046E-015 1,568E-014
148      13,03          0   0,007063    0,05422 1,655E-015 1,271E-014
561      12,98          0   0,006798    0,05238 2,046E-015 1,577E-014
582      12,98          0   0,006792    0,05235 1,64E-015 1,264E-014
1179     12,96          0   0,009057    0,06986 1,592E-015 1,228E-014
1193     12,96          0   0,009089    0,07012 1,137E-015 8,77E-015
1178     12,96          0   0,009056    0,06985 1,592E-015 1,228E-014
2980      13,1          0   0,002719    0,02076 2,096E-015  1,6E-014
2979      13,1          0   0,002665    0,02034 2,046E-015 1,562E-014
2836      7,57          0          0          0         0         0
2838     13,12          0   0,003742    0,02853 1,819E-015 1,387E-014
2323     13,14          0   0,003126    0,02379 1,438E-015 1,094E-014
2274     13,14          0   0,003116    0,02371 2,096E-015 1,595E-014
982      12,99          0    0,01005    0,07739 1,655E-015 1,275E-014
977        7,5          0          0          0         0         0
970      12,98          0    0,01014    0,07812 1,137E-015 8,759E-015
1042        13          0     0,0115    0,08847 1,592E-015 1,224E-014
2028     13,05          0    0,00841    0,06443 2,096E-015 1,606E-014
2026     13,05          0   0,008422    0,06452 1,364E-015 1,045E-014
152      13,03          0   0,007063    0,05422 1,592E-015 1,222E-014
624      12,98          0   0,006798    0,05238 1,592E-015 1,226E-014
583      12,97          0   0,006785    0,05231 1,017E-015 7,839E-015
1177     12,96          0   0,009057    0,06986 1,875E-015 1,446E-014
1200     12,96          0   0,009092    0,07014 1,137E-015 8,77E-015
1192     12,96          0   0,009089    0,07012 1,592E-015 1,228E-014
2983     13,09          0   0,002881    0,02201 2,501E-015 1,911E-014
2842     13,12          0   0,003742    0,02853 1,819E-015 1,387E-014
2840     13,12          0   0,003753    0,02861 1,655E-015 1,262E-014
2327     13,14          0   0,003134    0,02385 1,655E-015 1,26E-014
2318     13,14          0   0,003106    0,02364 2,046E-015 1,557E-014
981      12,99          0    0,01005    0,07739 1,592E-015 1,226E-014
971      12,98          0    0,01014    0,07813 1,833E-015 1,413E-014
1041        13          0     0,0116    0,08923 1,137E-015 8,746E-015
1039        13          0     0,0115    0,08847 1,017E-015 7,822E-015
2027     13,05          0    0,00841    0,06443 1,592E-015 1,219E-014
2025     13,05          0   0,008449    0,06473 1,592E-015 1,219E-014
2024     13,05          0   0,008422    0,06452 2,046E-015 1,568E-014
153      13,03          0   0,007063    0,05422 1,224E-015 9,399E-015
29       13,03          0   0,007063    0,05422 1,819E-015 1,396E-014
623      12,98          0   0,006798    0,05238 2,096E-015 1,615E-014
589      12,97          0   0,006785    0,05231 1,875E-015 1,445E-014
1176     12,96          0   0,009057    0,06986 1,819E-015 1,403E-014
1208     12,96          0    0,00915     0,0706 1,438E-015 1,11E-014
1191     12,96          0   0,009089    0,07012 2,096E-015 1,617E-014
2984     13,09          0   0,002895    0,02211 1,592E-015 1,216E-014
2977      13,1          0   0,002589    0,01976 1,875E-015 1,431E-014
2841     13,12          0   0,003742    0,02853 1,438E-015 1,096E-014
2839     13,12          0   0,003753    0,02861 2,046E-015 1,56E-014
2845     13,11          0   0,003796    0,02895 2,046E-015 1,56E-014
2326     13,14          0   0,003134    0,02386 1,592E-015 1,211E-014
2272     13,14          0   0,003116    0,02371 1,819E-015 1,384E-014
