
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

3259     48,69          0    0,01196    0,02456 3,305E-009 6,788E-009
624      7,493          0   0,003925    0,05238  0,001212   0,01617
583      7,489          0   0,003918    0,05231   0,00109   0,01455
1177     7,485          0   0,005229    0,06986  0,004528   0,06049
1200     7,484          0   0,005249    0,07014  0,004575   0,06113
1192     7,484          0   0,005248    0,07012  0,004572    0,0611
2983     7,558          0   0,001663    0,02201 0,0007792   0,01031
2842     7,573          0   0,002161    0,02853  0,002246   0,02965
2840     7,573          0   0,002167    0,02861  0,002257    0,0298
2327     7,586          0   0,001809    0,02385  0,001913   0,02522
2318     7,587          0   0,001793    0,02364   0,00186   0,02451
981      7,497          0   0,005802    0,07739  0,005001    0,0667
971      7,492          0   0,005853    0,07813  0,005007   0,06683
1041     7,505          0   0,006697    0,08923  0,005908   0,07872
1039     7,505          0   0,006639    0,08847  0,005841   0,07782
2027     7,536          0   0,004856    0,06443  0,003109   0,04126
2025     7,536          0   0,004878    0,06473  0,003145   0,04174
2024     7,536          0   0,004863    0,06452   0,00312   0,04141
153      7,521          0   0,004078    0,05422  0,001618   0,02151
29       7,521          0   0,004078    0,05422  0,001613   0,02145
623      7,493          0   0,003925    0,05238  0,001212   0,01617
589      7,489          0   0,003917    0,05231  0,001088   0,01452
1176     7,485          0   0,005229    0,06986  0,004528   0,06049
1208     7,482          0   0,005283     0,0706  0,004652   0,06218
1191     7,484          0   0,005248    0,07012  0,004572    0,0611
2984     7,558          0   0,001671    0,02211  0,000783   0,01036
2977     7,564          0   0,001495    0,01976  0,000698  0,009228
2841     7,573          0   0,002161    0,02853  0,002246   0,02965
2839     7,573          0   0,002167    0,02861  0,002257    0,0298
2845     7,571          0   0,002192    0,02895  0,002306   0,03046
2326     7,586          0    0,00181    0,02386  0,001914   0,02523
2272     7,586          0   0,001799    0,02371  0,001878   0,02476
2317     7,587          0   0,001793    0,02364   0,00186   0,02451
966      7,497          0   0,005802    0,07739  0,005001    0,0667
972       7,49          0   0,005853    0,07814  0,005007   0,06684
1040     7,505          0   0,006701    0,08928  0,005912   0,07878
1038     7,505          0   0,006639    0,08847  0,005841   0,07782
2032     7,536          0   0,004878    0,06473  0,003145   0,04173
42        7,52          0   0,004076     0,0542  0,001566   0,02083
622      7,493          0   0,003925    0,05238  0,001212   0,01617
588      7,488          0   0,003916    0,05229   0,00105   0,01402
577      7,489          0   0,003917    0,05231  0,001088   0,01452
1207     7,482          0   0,005283     0,0706  0,004652   0,06218
1199     7,482          0   0,005284    0,07062  0,004655   0,06221
1190     7,484          0   0,005248    0,07012  0,004572    0,0611
2987     7,553          0   0,001753    0,02321 0,0008235    0,0109
2976     7,564          0   0,001495    0,01976  0,000698  0,009228
2953     7,565          0          0          0         0         0
2847      7,57          0   0,002212    0,02923  0,002346   0,03098
2325     7,585          0   0,001814    0,02392  0,001928   0,02542
2322     7,586          0   0,001799    0,02371  0,001878   0,02476
2316     7,587          0   0,001793    0,02364   0,00186   0,02451
2314     7,587          0   0,001793    0,02364   0,00186   0,02451
