
BUSES AND NODES IN ACTIVE CIRCUIT: cmc-01p3

                                Coord                                 Number of     Nodes
  Bus      Base kV             (x, y)                      Keep?       Nodes        connected ...

"19991" 138.000          (           NA,            NA )     No           3          1    2    3 
"5820"   13.800          ( 6041713      , 8451665      )     No           3          1    2    3 
"6267"   13.800          ( 6040709      , 8452477      )     No           3          1    2    3 
"5819"   13.800          ( 6041722      , 8451433      )     No           3          1    2    3 
"6010"   13.800          ( 6040858      , 8452343      )     No           3          1    2    3 
"6015"   13.800          ( 6040885      , 8452296      )     No           3          1    2    3 
"6266"   13.800          ( 6040638      , 8452538      )     No           3          1    2    3 
"5821"   13.800          ( 6041706      , 8451648      )     No           3          1    2    3 
"5822"   13.800          ( 6041707      , 8451651      )     No           3          1    2    3 
"4194"   13.800          ( 6041724      , 8451401      )     No           3          1    2    3 
"6245"   13.800          ( 6040739      , 8452223      )     No           2          1    2 
"6246"   13.800          ( 6040779      , 8452266      )     No           3          1    2    3 
"6013"   13.800          ( 6040918      , 8452195      )     No           3          1    2    3 
"6014"   13.800          ( 6040885      , 8452293      )     No           3          1    2    3 
"6264"   13.800          ( 6040765      , 8452547      )     No           3          1    2    3 
"6265"   13.800          ( 6040739      , 8452514      )     No           3          1    2    3 
"6239"   13.800          ( 6040490      , 8452646      )     No           3          1    2    3 
"5823"   13.800          ( 6041727      , 8451346      )     No           3          1    2    3 
"6244"   13.800          ( 6040690      , 8452176      )     No           2          1    2 
"6008"   13.800          ( 6040767      , 8452549      )     No           3          1    2    3 
"6262"   13.800          ( 6040701      , 8452694      )     No           3          1    2    3 
"6263"   13.800          ( 6040659      , 8452567      )     No           3          1    2    3 
"6238"   13.800          ( 6040357      , 8452760      )     No           3          1    2    3 
"5560"   13.800          ( 6041740      , 8451231      )     No           3          1    2    3 
"6243"   13.800          ( 6040688      , 8452174      )     No           2          1    2 
"6012"   13.800          ( 6040905      , 8452062      )     No           3          1    2    3 
"6271"   13.800          ( 6040892      , 8451942      )     No           3          1    2    3 
"6261"   13.800          ( 6040711      , 8452739      )     No           3          1    2    3 
"6242"   13.800          ( 6040302      , 8452761      )     No           3          1    2    3 
"5824"   13.800          ( 6041782      , 8451341      )     No           3          1    2    3 
"5826"   13.800          ( 6041923      , 8451331      )     No           3          1    2    3 
"5562"   13.800          ( 6041719      , 8451159      )     No           3          1    2    3 
"6270"   13.800          ( 6040882      , 8451768      )     No           3          1    2    3 
"6260"   13.800          ( 6040712      , 8452742      )     No           3          1    2    3 
"6241"   13.800          ( 6040197      , 8452742      )     No           3          1    2    3 
"5825"   13.800          ( 6041977      , 8451346      )     No           3          1    2    3 
"5561"   13.800          ( 6041696      , 8451028      )     No           3          1    2    3 
"6011"   13.800          ( 6040865      , 8451638      )     No           3          1    2    3 
"6282"   13.800          ( 6040120      , 8452737      )     No           3          1    2    3 
"5521"   13.800          ( 6042122      , 8451380      )     No           3          1    2    3 
"5564"   13.800          ( 6041713      , 8451131      )     No           3          1    2    3 
"5563"   13.800          ( 6041712      , 8451128      )     No           3          1    2    3 
"5556"   13.800          ( 6041655      , 8450859      )     No           3          1    2    3 
"6269"   13.800          ( 6040864      , 8451615      )     No           3          1    2    3 
"6281"   13.800          ( 6040098      , 8452736      )     No           3          1    2    3 
"5520"   13.800          ( 6042255      , 8451400      )     No           3          1    2    3 
"5565"   13.800          ( 6041740      , 8451006      )     No           3          1    2    3 
"5566"   13.800          ( 6041737      , 8451007      )     No           3          1    2    3 
"5568"   13.800          ( 6041640      , 8450802      )     No           3          1    2    3 
"6268"   13.800          ( 6040859      , 8451591      )     No           3          1    2    3 
"6355"   13.800          ( 6040052      , 8452730      )     No           3          1    2    3 
"5523"   13.800          ( 6042428      , 8451441      )     No           3          1    2    3 
"5567"   13.800          ( 6041620      , 8450718      )     No           3          1    2    3 
"4279"   13.800          ( 6040858      , 8451587      )     No           3          1    2    3 
"6006"   13.800          ( 6040152      , 8452760      )     No           3          1    2    3 
"6007"   13.800          ( 6040149      , 8452759      )     No           3          1    2    3 
"6354"   13.800          ( 6039950      , 8452716      )     No           3          1    2    3 
"5522"   13.800          ( 6042546      , 8451460      )     No           3          1    2    3 
"5737"   13.800          ( 6041618      , 8450650      )     No           3          1    2    3 
"6352"   13.800          ( 6040066      , 8452796      )     No           2          1    2 
"6353"   13.800          ( 6040055      , 8452771      )     No           3          1    2    3 
"6259"   13.800          ( 6039806      , 8452701      )     No           3          1    2    3 
"5828"   13.800          ( 6042669      , 8451491      )     No           3          1    2    3 
"5736"   13.800          ( 6041652      , 8450562      )     No           3          1    2    3 
"6351"   13.800          ( 6040094      , 8452862      )     No           2          1    2 
"6005"   13.800          ( 6039689      , 8452733      )     No           3          1    2    3 
"5827"   13.800          ( 6042733      , 8451412      )     No           3          1    2    3 
"5830"   13.800          ( 6042705      , 8451505      )     No           3          1    2    3 
"5557"   13.800          ( 6041695      , 8450483      )     No           3          1    2    3 
"6350"   13.800          ( 6040059      , 8453002      )     No           2          1    2 
"6004"   13.800          ( 6039565      , 8452768      )     No           3          1    2    3 
"5528"   13.800          ( 6042798      , 8451331      )     No           3          1    2    3 
"5524"   13.800          ( 6042793      , 8451414      )     No           3          1    2    3 
"5829"   13.800          ( 6042707      , 8451506      )     No           3          1    2    3 
"5738"   13.800          ( 6041487      , 8450481      )     No           3          1    2    3 
"5740"   13.800          ( 6041385      , 8450428      )     No           2          1    2 
"5558"   13.800          ( 6041767      , 8450354      )     No           3          1    2    3 
"6349"   13.800          ( 6040026      , 8453078      )     No           2          1    2 
"6258"   13.800          ( 6039447      , 8452801      )     No           3          1    2    3 
"5533"   13.800          ( 6042883      , 8451222      )     No           3          1    2    3 
"5741"   13.800          ( 6041356      , 8450410      )     No           2          1    2 
"5739"   13.800          ( 6041382      , 8450427      )     No           2          1    2 
"5559"   13.800          ( 6041839      , 8450226      )     No           3          1    2    3 
"6346"   13.800          ( 6039952      , 8453118      )     No           2          1    2 
"6348"   13.800          ( 6040070      , 8453111      )     No           2          1    2 
"6257"   13.800          ( 6039313      , 8452833      )     No           3          1    2    3 
"5529"   13.800          ( 6042779      , 8451240      )     No           3          1    2    3 
"5530"   13.800          ( 6042795      , 8451313      )     No           3          1    2    3 
"5534"   13.800          ( 6042953      , 8451239      )     No           3          1    2    3 
